name,property_type,room_type,bedrooms,beds,bed_type,bathrooms,minimum_nights,maximum_nights,cancellation_policy,price,security_deposit,cleaning_fee,extra_people,guests_included,street,sub_urban,government_area,country_code,market,latitude,longitude,host_id,host_name,host_location,host_neighbourhood,host_identity_verified,host_is_superhost,host_response_rate,avilability_30,avilability_60,avilability_90,avilability_365,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating,total_reviews
Ribeira Charming Duplex,House,Entire home/apt,3.0,5,Real Bed,1.0,2,30,moderate,80.0,200.0,35.0,15,6,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PT,Porto,41.1413,-8.61308,51399391,Ana&Gonçalo,"Porto, Porto District, Portugal",-,yes,no,100.0,28,47,74,239,9,9,10,10,10,9,89,23377
Horto flat with small garden,Apartment,Entire home/apt,1.0,2,Real Bed,1.0,2,1125,flexible,317.0,0.0,187.0,0,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Jardim Botânico,Jardim Botânico,BR,Rio De Janeiro,-22.966253551739655,-43.23074991429229,1282196,Ynaie,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Jardim Botânico,no,no,0.0,0,0,0,0,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
Ocean View Waikiki Marina w/prkg,Condominium,Entire home/apt,1.0,1,Real Bed,1.0,3,365,strict_14_with_grace_period,115.0,0.0,100.0,0,1,"Honolulu, HI, United States",Oʻahu,Primary Urban Center,US,Oahu,21.28634,-157.83919,5448114,David,"Honolulu, Hawaii, United States",Waikiki,no,no,98.0,16,46,76,343,9,8,9,9,10,9,84,52015
Private Room in Bushwick,Apartment,Private room,1.0,1,Real Bed,1.5,14,1125,flexible,40.0,0.0,0.0,0,1,"Brooklyn, NY, United States",Brooklyn,Bushwick,US,New York,40.69791,-73.93615,11275734,Josh,"New York, New York, United States",Bushwick,yes,no,0.0,0,0,0,0,10,10,10,10,8,8,100,638
Apt Linda Vista Lagoa - Rio,Apartment,Private room,1.0,1,Real Bed,2.0,1,1125,flexible,701.0,1000.0,250.0,0,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Lagoa,Lagoa,BR,Rio De Janeiro,-22.971950988341874,-43.205047082633435,51496939,Livia,BR,Lagoa,no,no,0.0,28,58,88,363,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
New York City - Upper West Side Apt,Apartment,Private room,1.0,1,Real Bed,1.0,12,360,strict_14_with_grace_period,135.0,0.0,135.0,0,1,"New York, NY, United States",Manhattan,Upper West Side,US,New York,40.79962,-73.96523,454250,Greta,"New York, New York, United States",-,yes,yes,100.0,0,0,0,93,10,9,10,10,10,10,94,37245
Copacabana Apartment Posto 6,Apartment,Entire home/apt,1.0,3,Real Bed,2.0,3,75,strict_14_with_grace_period,119.0,600.0,150.0,40,3,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,BR,Rio De Janeiro,-22.984339360067814,-43.190849194463404,51530266,Ana Valéria,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Copacabana,yes,yes,100.0,7,19,33,118,10,10,10,10,10,10,98,31474
Charming Flat in Downtown Moda,House,Entire home/apt,2.0,6,Real Bed,1.0,2,1125,flexible,527.0,0.0,211.0,211,1,"Kadıköy, İstanbul, Turkey",Moda,Kadikoy,TR,Istanbul,40.98585,29.03133,1241644,Zeynep,"Istanbul, Istanbul, Turkey",Moda,yes,no,0.0,27,57,87,362,10,10,10,10,10,10,100,1094
Catete's Colonial Big Hause Room B,House,Private room,1.0,8,Real Bed,4.0,2,1125,strict_14_with_grace_period,250.0,0.0,0.0,40,4,"Rio de Janeiro, Rio de Janeiro, Brazil",Catete,Catete,BR,Rio De Janeiro,-22.92638234778768,-43.18015675229857,51326285,Beatriz,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Catete,yes,no,80.0,10,10,21,296,10,6,8,8,8,8,80,1351
Modern Spacious 1 Bedroom Loft,Apartment,Entire home/apt,1.0,2,Real Bed,1.0,1,1125,flexible,50.0,0.0,0.0,31,1,"Montréal, Québec, Canada",Mile End,Le Plateau-Mont-Royal,CA,Montreal,45.51889,-73.59111,51612949,Konstantin,"Montreal, Quebec, Canada",Mile End,no,no,0.0,0,0,0,0,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
